date,store,item,sales
2020/3/3,1,1,0.091734342
2020/3/4,1,1,0.091676311
2020/3/5,1,1,0.096690222
2020/3/6,1,1,0.097925461
2020/3/7,1,1,0.093830104
2020/3/8,1,1,0.079675422
2020/3/9,1,1,0.077999144
2020/3/10,1,1,0.077306084
2020/3/11,1,1,0.078033963
2020/3/12,1,1,0.026483862
2020/3/13,1,1,0.039056775
2020/3/14,1,1,0.032398089
2020/3/15,1,1,0.035442249
2020/3/16,1,1,0.029866263
2020/3/17,1,1,0.033697991
2020/3/18,1,1,0.035361005
2020/3/19,1,1,0.048801072
2020/3/20,1,1,0.049353199
2020/3/21,1,1,0.049036513
2020/3/22,1,1,0.042999592
2020/3/23,1,1,0.053723791
2020/3/24,1,1,0.058295005
2020/3/25,1,1,0.057205673
2020/3/26,1,1,0.057971687
2020/3/27,1,1,0.052140363
2020/3/28,1,1,0.049824082
2020/3/29,1,1,0.044132033
2020/3/30,1,1,0.052432178
2020/3/31,1,1,0.052788656
2020/4/1,1,1,0.056535825
2020/4/2,1,1,0.059221849
2020/4/3,1,1,0.058150756
2020/4/4,1,1,0.060165273
2020/4/5,1,1,0.058760914
2020/4/6,1,1,0.068039302
2020/4/7,1,1,0.065600326
2020/4/8,1,1,0.068518476
2020/4/9,1,1,0.067321371
2020/4/10,1,1,0.060259782
2020/4/11,1,1,0.060337709
2020/4/12,1,1,0.061163413
2020/4/13,1,1,0.059898329
2020/4/14,1,1,0.060057501
2020/4/15,1,1,0.05637997
2020/4/16,1,1,0.063948919
2020/4/17,1,1,0.063123216
2020/4/18,1,1,0.066356392
2020/4/19,1,1,0.064567368
2020/4/20,1,1,0.059769002
2020/4/21,1,1,0.059918225
2020/4/22,1,1,0.064401564
2020/4/23,1,1,0.07062916
2020/4/24,1,1,0.07088284
2020/4/25,1,1,0.071489682
2020/4/26,1,1,0.073786067
2020/4/27,1,1,0.075230219
2020/4/28,1,1,0.074913533
2020/4/29,1,1,0.091891856
2020/4/30,1,1,0.089539098
2020/5/1,1,1,0.092732482
2020/5/2,1,1,0.095131665
2020/5/3,1,1,0.093791969
2020/5/4,1,1,0.093612901
2020/5/5,1,1,0.095707005
2020/5/6,1,1,0.098200696
2020/5/7,1,1,0.111935894
2020/5/8,1,1,0.109057537
2020/5/9,1,1,0.10488591
2020/5/10,1,1,0.091359625
2020/5/11,1,1,0.088723343
2020/5/12,1,1,0.092603155
2020/5/13,1,1,0.100642988
2020/5/14,1,1,0.108596602
2020/5/15,1,1,0.100962989
2020/5/16,1,1,0.101982683
2020/5/17,1,1,0.106926957
2020/5/18,1,1,0.107805718
2020/5/19,1,1,0.108512042
2020/5/20,1,1,0.10418456
2020/5/21,1,1,0.096668667
2020/5/22,1,1,0.098504117
2020/5/23,1,1,0.098625154
2020/5/24,1,1,0.091183873
2020/5/25,1,1,0.09400254
2020/5/26,1,1,0.093079012
2020/5/27,1,1,0.09899158
2020/5/28,1,1,0.105177725
2020/5/29,1,1,0.102733775
